logpressurec2,pressurec2,energy_densityc2,baryon_density
29.34882923822369,5572301266000.0,219374248700000.0,216684002923083.94
29.36952746454607,5688839930000.0,221118442400000.0,218363715497649.97
29.390063859228636,5806876062000.0,222863527400000.0,220043417474401.53
29.410442700513872,5926427490000.0,224609682100000.0,221723276060548.3
29.430668659667035,6047515604000.0,226356549800000.0,223402943600399.1
29.45074588803143,6170160016000.0,228104487200000.0,225082758513644.3
29.470678624199138,6294382118000.0,229853137600000.0,226762373359051.75
29.490470344672943,6420199736000.0,231602857600000.0,228442125965318.94
29.510124646800556,6547632480000.0,233353469000000.0,230121840409875.75
29.529645497392224,6676703525000.0,235105150000000.0,231801682761524.72
29.54903614326666,6807432482000.0,236857544200000.0,233481306334036.97
29.568299942201243,6939840741000.0,238611007900000.0,235161047679112.97
29.587439843665223,7073947914000.0,240365541200000.0,236840901688809.38
29.606458914590377,7209775393000.0,242120787600000.0,238520521953769.97
29.625360565954765,7347348134000.0,243877281900000.0,240200414994708.28
29.644147087253728,7486683966000.0,245634489300000.0,241880064018447.56
29.662821612735904,7627807846000.0,247392766300000.0,243559804522761.0
29.681386893497635,7770742950000.0,249152113000000.0,245239631065541.0
29.699845326321125,7915510669000.0,250912351000000.0,246919367802353.03
29.71819964490702,8062135961000.0,252673480300000.0,248599009257429.78
29.73645201674234,8210640219000.0,254435679200000.0,250278719847476.56
29.75460536836241,8361051966000.0,256198947800000.0,251958493861346.38
29.772661638882106,8513392595000.0,257963107700000.0,253638155561753.72
29.790623096274434,8667687062000.0,259728515500000.0,255318038534970.0
29.80849230584962,8823963892000.0,261494636400000.0,256997627960776.72
29.82627110727459,8982246260000.0,263262005200000.0,258677426450613.78
29.843961843714283,9142562688000.0,265030443600000.0,260357258275315.38
29.861566549043292,9304939918000.0,266799773400000.0,262036948018293.72
29.879086970029967,9469402906000.0,268570172700000.0,263716658549504.38
29.8965253285333,9635981960000.0,270341641700000.0,265396383673627.38
29.91388354973088,9804705601000.0,272114180300000.0,267076116825973.1
29.931163463247206,9975602354000.0,273887788600000.0,268755851554188.94
29.948366807311558,10148700740000.0,275662466400000.0,270435581046523.78
29.965495579686092,10324032850000.0,277438213900000.0,272115298786203.34
29.982551333466,10501627210000.0,279215031000000.0,273794997890714.8
29.99953587759057,10681515900000.0,280993095900000.0,275474839851047.06
30.016450762833408,10863729230000.0,282772052300000.0,277154481095335.34
30.03329778365552,11048301080000.0,284552256500000.0,278834251000445.5
30.05007847656447,11235263520000.0,286333530300000.0,280513974188062.75
30.06679445617948,11424650440000.0,288116052100000.0,282193811572729.44
30.083447093768168,11616493920000.0,289899465100000.0,283873419609243.06
30.10003799007201,11810829610000.0,291684304400000.0,285553294768332.0
30.116568657801334,12007693170000.0,293470035000000.0,287232925922112.75
30.13304052447291,12207120250000.0,295257013400000.0,288912640823800.4
30.149454794961905,12409144730000.0,297045239800000.0,290592431788770.06
30.16581303004486,12613805820000.0,298834535800000.0,292272123376202.44
30.182116423067676,12821139180000.0,300625079700000.0,293951875013368.7
30.198366372468765,13031184030000.0,302416871500000.0,295631678543091.44
30.214564058626337,13243977790000.0,304209732800000.0,297311358571691.3
30.230710860862573,13459561490000.0,306003842100000.0,298991074092154.0
30.246807810998988,13677972540000.0,307799199300000.0,300670816561558.4
30.262856267573632,13899253750000.0,309595804400000.0,302350577431944.9
30.2788572502584,14123444320000.0,311393657300000.0,304030347960817.25
30.29481196600824,14350587040000.0,313192758200000.0,305710119587511.3
30.310721423584425,14580722910000.0,314992928600000.0,307389716917332.2
30.326586688703518,14813894720000.0,316794525200000.0,309069463815887.94
30.342408877175373,15050147040000.0,318597369700000.0,310749184872194.0
30.358188915630702,15289522650000.0,320401640400000.0,312429036939409.1
30.373927899408294,15532067900000.0,322206980700000.0,314108678746977.25
30.389626625273507,15777825570000.0,324013747200000.0,315788432709981.5
30.40528605877529,16026842020000.0,325821761500000.0,317468123389366.8
30.420907098647497,16279163590000.0,327631202000000.0,319147906839814.3
30.43649069092055,16534838430000.0,329441890400000.0,320827607743143.25
30.452037607514022,16793912870000.0,331254004900000.0,322507381511447.7
30.467548671325876,17056435060000.0,333067367400000.0,324187053049206.0
30.483024746894262,17322454900000.0,334882334200000.0,325866942157182.9
30.498466435005817,17592018750000.0,336698370700000.0,327546543807012.1
30.51387498686307,17865185430000.0,338516011600000.0,329226342200551.56
30.529249995641642,18141985260000.0,340334900500000.0,330905997424720.25
30.544592517749237,18422475280000.0,342155393700000.0,332585827896001.7
30.559904297029803,18706726800000.0,343977134800000.0,334265493970190.5
30.57518508149274,18994775460000.0,345800480400000.0,335945313545203.5
30.590435546441938,19286674760000.0,347625073800000.0,337624947032215.75
30.605655400908084,19582460340000.0,349451271700000.0,339304711762155.25
30.620847048842325,19882221350000.0,351278895800000.0,340984432419326.6
30.636010085272062,20185993430000.0,353108124200000.0,342664261235114.7
30.65114411455824,20493812240000.0,354938778900000.0,344344023267980.9
30.666250462521834,20805749080000.0,356770859600000.0,346023706799741.0
30.68133036249153,21121875280000.0,358604544900000.0,347703463821336.75
30.69638246175085,21442208640000.0,360439656200000.0,349383118915326.9
30.711408749116632,21766838310000.0,362276372100000.0,351062823653911.06
30.72640865842705,22095799940000.0,364114692300000.0,352742565596307.2
30.7413824347585,22429147010000.0,365954617000000.0,354422332710725.5
30.7563310757505,22766950840000.0,367796146100000.0,356102112567710.7
30.77125395898308,23109247060000.0,369639279600000.0,357781892746459.9
30.78615200335499,23456107000000.0,371483839300000.0,359461498481092.75
30.80102605568947,23807601960000.0,373330181700000.0,361141241739384.3
30.81587468266392,24163749770000.0,375178128500000.0,362820947473744.75
30.830699424024264,24524639550000.0,377027858000000.0,364500764844844.3
30.845500281640344,24890324800000.0,378879192000000.0,366180518966689.9
30.860276532771504,25260841170000.0,380732130400000.0,367860196810198.94
30.87502887033671,25636259970000.0,382586851400000.0,369539946762630.3
30.889757243984096,26016634660000.0,384443355200000.0,371219755603928.06
30.904462266287254,26402036580000.0,386301463400000.0,372899448562160.6
30.919143164294034,26792501360000.0,388161354300000.0,374579173408291.1
30.933800505269307,27188100320000.0,390023027900000.0,376258916524073.0
30.948434160103627,27588886930000.0,391886484200000.0,377938664199185.9
30.963043991037672,27994914680000.0,393751723300000.0,379618402759861.56
30.97762985142061,28406237050000.0,395618745000000.0,381298118210691.94
30.9921922055125,28822925350000.0,397487549400000.0,382977796741903.9
31.00673025559618,29245015230000.0,399358314800000.0,384657584505850.94
31.02124443557022,29672578000000.0,401230862800000.0,386337307163503.4
31.035733954790413,30105649310000.0,403105193600000.0,388016950858664.25
31.050199803889594,30544318300000.0,404981663600000.0,389696820542629.0
31.064640600877667,30988602790000.0,406859738100000.0,391376423222095.8
31.07905672940764,31438574100000.0,408739951800000.0,393056222778363.8
31.093447978011913,31894285700000.0,410621948200000.0,394735886160182.9
31.107814684897942,32355808900000.0,412506083800000.0,396415716923710.25
31.122155526628113,32823161540000.0,414392002100000.0,398095382605446.5
31.13647084645846,33296414900000.0,416280059700000.0,399775186191239.2
31.150759902205234,33775604660000.0,418170078200000.0,401454954143207.7
31.165023541696332,34260819950000.0,420062057800000.0,403134671930456.5
31.179260501690038,34752078590000.0,421955998200000.0,404814324550968.2
31.193470590022482,35249434060000.0,423852078000000.0,406494055532985.44
31.207653615254003,35752939850000.0,425750296900000.0,408173849549086.9
31.22180889473867,36262631610000.0,427650476800000.0,409853534111154.1
31.235936743821753,36778580640000.0,429552796000000.0,411533251927585.75
31.250036973959872,37300840430000.0,431457254400000.0,413212987780463.7
31.264107984269874,37829410980000.0,433363852100000.0,414892726704394.0
31.27815057813874,38364381430000.0,435272589000000.0,416572453571600.06
31.292163674063843,38905769590000.0,437183643400000.0,418252310055114.4
31.306147599505735,39453646780000.0,439096658700000.0,419931967653082.9
31.320101320640735,40008030830000.0,441011991600000.0,421611724529973.94
31.334024733029988,40568975210000.0,442929463700000.0,423291409070607.0
31.34791686648584,41136497750000.0,444849253400000.0,424971162443650.5
31.361778509256855,41710687600000.0,446771360500000.0,426650969171012.8
31.3756078724599,42291526910000.0,448695606900000.0,428330658532056.9
31.389405340486807,42879087000000.0,450622170800000.0,430010371090551.44
31.403170453930525,43473403530000.0,452551052200000.0,431690091661921.06
31.416902775291323,44074512140000.0,454482251100000.0,433369805112804.25
31.430601490395574,44682430670000.0,456415767500000.0,435049496391435.2
31.44426622067224,45297194760000.0,458351779700000.0,436729305233674.0
31.457896996332654,45918857910000.0,460290109400000.0,438409061797475.9
31.471493079039174,46547437930000.0,462230756600000.0,440088751187998.75
31.48505414850266,47182970480000.0,464173899600000.0,441768512727045.94
31.49857952937629,47825473380000.0,466119360100000.0,443448177360164.8
31.51206931973906,48475000130000.0,468067494700000.0,445128037907623.9
31.525522162314417,49131532890000.0,470017946800000.0,446807771923301.6
31.53893856427901,49795142960000.0,471970716400000.0,448487364926952.25
31.552317949770313,50465848180000.0,473926160000000.0,450167108702298.94
31.56565942759555,51143648550000.0,475884099400000.0,451846835269229.44
31.578962501073406,51828561890000.0,477844712800000.0,453526682740270.56
31.5922277225958,52520659510000.0,479807643800000.0,455206331206235.4
31.605453610713653,53219905760000.0,481773248800000.0,456886071197149.06
31.618640418875977,53926354110000.0,483741527900000.0,458565888099591.4
31.631787415012454,54640004580000.0,485712302800000.0,460245615323281.25
31.644894554275552,55360892800000.0,487685573400000.0,461925238671165.4
31.65796116580318,56089018790000.0,489661696300000.0,463605047269470.94
31.670986933389745,56824400370000.0,491640315100000.0,465284723882187.9
31.683971564445866,57567055360000.0,493621786100000.0,466964556807467.5
31.696914789412887,58317001600000.0,495605753000000.0,468644229916392.75
31.709816058343026,59074239080000.0,497592572100000.0,470324030925981.1
31.722675155772542,59838785630000.0,499581887000000.0,472003644702416.7
31.735491591608092,60610641240000.0,501574232600000.0,473683508989567.7
31.748265200537965,61389823760000.0,503569073800000.0,475363158855322.44
31.760995547607678,62176333170000.0,505566767500000.0,477042881387903.06
31.77368251301585,62970187310000.0,507567313400000.0,478722662623569.4
31.786325433607452,63771368350000.0,509570533400000.0,480402339665805.44
31.798924517522845,64579911930000.0,511576605700000.0,482082048705929.75
31.81147942846341,65395818070000.0,513585530300000.0,483761776402902.7
31.823989587695102,66219068930000.0,515597307300000.0,485441509672730.5
31.8364547220643,67049664510000.0,517612114800000.0,487121384014234.8
31.848874845806016,67887622640000.0,519629596400000.0,488801089396722.8
31.86124972467589,68732943330000.0,521649930300000.0,490480761640247.5
31.873578890911844,69585608740000.0,523673294800000.0,492160536178906.8
31.88586241764974,70445636700000.0,525699511600000.0,493840252328519.5
31.898099886592817,71313009390000.0,527728759100000.0,495520045460400.8
31.910291405314243,72187744620000.0,529760858800000.0,497199755430914.56
31.922436357140796,73069806760000.0,531795989100000.0,498879517483920.5
31.93453464880804,73959195790000.0,533833971800000.0,500559172500950.0
31.946586442627805,74855929540000.0,535874985000000.0,502238855343701.75
31.958591435318507,75759990190000.0,537919207100000.0,503918700606829.1
31.970549583078345,76671377740000.0,539966281500000.0,505598403401591.5
31.98246039740741,77590056530000.0,542016386500000.0,507278098575837.8
31.994324106966463,78516044390000.0,544069700300000.0,508957920398360.3
32.00614049408585,79449323500000.0,546125866500000.0,510637565905663.06
32.01790958570529,80389893840000.0,548185241600000.0,512317315077592.6
32.02963098282069,81337719780000.0,550247647200000.0,513997011114741.8
32.04130475077014,82292801300000.0,552313261700000.0,515676788198987.56
32.05293117968791,83255156240000.0,554381906800000.0,517356490318790.0
32.06450971281476,84224731120000.0,556453760700000.0,519036251321923.56
32.076040459579964,85201525930000.0,558528823500000.0,520716060412229.0
32.08752333111742,86185522850000.0,560606916900000.0,522395762734206.44
32.098958460288316,87176721880000.0,562688219100000.0,524075491948451.1
32.11034578490507,88175105180000.0,564772730200000.0,525755237676541.94
32.121685259236365,89180654950000.0,566860450200000.0,527434989618939.44
32.132977049830934,90193371160000.0,568951200800000.0,529114594373264.8
32.14422074321474,91213200350000.0,571045338500000.0,530794328349654.1
32.155416730179255,92240160340000.0,573142863300000.0,532474181276595.75
32.166564824172205,93274215480000.0,575243418700000.0,534153857941593.75
32.17766523778689,94315365760000.0,577347361200000.0,535833633867605.44
32.18871781361398,95363575530000.0,579454512600000.0,537513357160767.25
32.19972278391743,96418844800000.0,581564872900000.0,539193018571310.25
32.21068020058573,97481155720000.0,583678620300000.0,540872750584908.75
32.2215897648388,98550454840000.0,585795754800000.0,542552543822982.4
32.23245209769778,99626777790000.0,587916098200000.0,544232247861011.5
32.24326692157584,100710071100000.0,590039828700000.0,545911994951601.4
32.25403433300673,101800316900000.0,592166946300000.0,547591776142220.44
32.264754611732606,102897515300000.0,594297272800000.0,549271442094305.75
32.27542769379316,104001630600000.0,596431164700000.0,550951265194906.25
32.286053698658264,105112644800000.0,598568265500000.0,552630956261677.3
32.296632925342834,106230558200000.0,600708753400000.0,554310647148803.56
32.30716516953443,107355317100000.0,602852806700000.0,555990469277764.8
32.31765074339489,108486921600000.0,605000068800000.0,557670135138063.0
32.32808979398171,109625353800000.0,607150896400000.0,559349915742534.9
32.33848231436586,110770578100000.0,609305111100000.0,561029663677305.4
32.34882862775404,111922594500000.0,611462712900000.0,562709371207116.5
32.359128740120525,113081367300000.0,613623701800000.0,564389030721960.6
32.369382826292494,114246878800000.0,615788256200000.0,566068773199501.0
32.37959121709763,115419128800000.0,617956375900000.0,567748590679030.8
32.389753785933515,116598064000000.0,620127882800000.0,569428337729378.5
32.399870722184446,117783666400000.0,622302776800000.0,571108007212809.6
32.40994237178478,118975936200000.0,624481236200000.0,572787729647360.5
32.419968778345066,120174837600000.0,626663261000000.0,574467497745590.1
32.429950289552885,121380370600000.0,628848672900000.0,576147167297746.9
32.43988681454869,122592481800000.0,631037828500000.0,577827005345006.1
32.44977870797233,123811171200000.0,633230371200000.0,579506731347894.2
32.45962617799167,125036420900000.0,635426479400000.0,581186475390107.2
32.469429294887675,126268195300000.0,637625974600000.0,582866094480661.6
32.479188276099656,127506476600000.0,639829213500000.0,584545854458773.6
32.488903339309,128751246800000.0,642036017900000.0,586225612799840.1
32.49857470697018,130002488300000.0,644246387600000.0,587905363015085.6
32.508202600676334,131260183200000.0,646460322700000.0,589585098949503.6
32.517787108319325,132524295700000.0,648677823300000.0,591264814571481.2
32.52732859321878,133794826000000.0,650898889200000.0,592944503725243.8
32.53682714878192,135071738400000.0,653123698800000.0,594624295205700.8
32.54628287434687,136354997200000.0,655352073800000.0,596304048408841.1
32.55569626357141,137644620200000.0,657584014200000.0,597983757651821.6
32.565067287798264,138940553900000.0,659819698300000.0,599663551316948.1
32.57439631141944,140242798500000.0,662058947700000.0,601343289675441.0
32.58368343934702,141551318100000.0,664301762600000.0,603022967504373.9
32.592928908892006,142866095000000.0,666548321100000.0,604702712709308.6
32.60213308020772,144187129200000.0,668798445100000.0,606382386723431.0
32.61129594062066,145514367100000.0,671052312700000.0,608062117205391.2
32.62041785279452,146847808900000.0,673309924000000.0,609741898833704.1
32.62949905259254,148187436700000.0,675571100600000.0,611421593761518.8
32.63853977502621,149533232500000.0,677836021000000.0,613101329568972.4
32.64754013955744,150885160900000.0,680104685000000.0,614781100981330.0
32.65650038375543,152243203900000.0,682377092700000.0,616460903052450.6
32.66542086257699,153607361600000.0,684653065800000.0,618140599242944.1
32.67430158045066,154977580500000.0,686932782600000.0,619820316507320.9
32.68314300540897,156353878400000.0,689216243000000.0,621500050008797.1
32.69194525759117,157736219600000.0,691503447100000.0,623179795123888.9
32.70070857358829,159124586400000.0,693794394900000.0,624859547256156.4
32.70943307645634,160518943000000.0,696089086300000.0,626539301835404.0
32.71811922459755,161919307400000.0,698387521400000.0,628219054501520.8
32.72676702888436,163325625900000.0,700689521900000.0,629898670806657.2
32.73537672545215,164737880800000.0,702995444400000.0,631578406699037.8
32.74394876368366,166156090000000.0,705305288800000.0,633258257485915.5
32.75248315797609,167580199900000.0,707618698600000.0,634937959780318.5
32.76098024618634,169010210500000.0,709935852000000.0,636617639154757.4
32.76944015267653,170446086200000.0,712256927400000.0,638297420769165.9
32.7778632113829,171887827000000.0,714581746500000.0,639977171500202.5
32.78624954626502,173335397300000.0,716910309200000.0,641656887474022.6
32.79459958797216,174788814700000.0,719242615600000.0,643336565017382.4
32.80291325656416,176248008200000.0,721578844000000.0,645016328672471.0
32.81119107969656,177713013200000.0,723918816000000.0,646696046374047.6
32.81943327756751,179183812000000.0,726262710000000.0,648375842411829.8
32.82763927935973,180660244200000.0,728610347600000.0,650055585360760.5
32.83581078869972,182142559200000.0,730961728900000.0,651735271883966.9
32.84394713198966,183630578900000.0,733317032100000.0,653415025629992.2
32.852047661969216,185124125000000.0,735676079000000.0,655094716224850.4
32.86011462306398,186623553900000.0,738039047900000.0,656774467209833.2
32.868146405344085,188128509300000.0,740405938700000.0,658454274926933.4
32.87614427302058,189639169200000.0,742776573100000.0,660134009650495.4
32.8841085262143,191155533900000.0,745150951300000.0,661813668413784.0
32.89203853295521,192677424900000.0,747529251300000.0,663493374014715.4
32.899935523665825,194205020500000.0,749911473400000.0,665173123372251.2
32.907798874252094,195738142500000.0,752297617300000.0,666852913012286.5
32.91562979178374,197276969100000.0,754687504900000.0,668532614529572.9
32.923426762141325,198821143900000.0,757081314500000.0,670212350399124.8
32.93119187987404,200371023200000.0,759479046000000.0,671892117538356.5
32.93892365112159,201926250700000.0,761880521200000.0,673571788321979.2
32.946624135043855,203487182800000.0,764286096500000.0,675251609073824.1
32.95429185667545,205053463100000.0,766695415600000.0,676931328058294.9
32.961927977332046,206625269700000.0,769108656600000.0,678611066898242.8
32.96953277251159,208202602600000.0,771525819500000.0,680290822720876.6
32.97710651492351,209785462000000.0,773946726100000.0,681970469043714.6
32.98464862815409,211373669400000.0,776371732900000.0,683650250543662.8
32.99215939608928,212967224900000.0,778800483400000.0,685329917786239.6
32.999639929138795,214566306800000.0,781233334100000.0,687009714704145.9
33.007089659521256,216170736800000.0,783669928400000.0,688689392485556.5
33.01450885915628,217780514900000.0,786110623000000.0,690369194608158.0
33.02189779620678,219395641100000.0,788555061200000.0,692048873180284.6
33.02925754187791,221016293700000.0,791003599700000.0,693728670789208.8
33.036586737682406,222642116100000.0,793455881800000.0,695408340375956.9
33.0438864536167,224273286600000.0,795912264200000.0,697088124084532.6
33.05115694350702,225909805200000.0,798372568400000.0,698767897351394.0
33.05839845776038,227551671900000.0,800836616400000.0,700447536562046.5
33.06561124342749,229198886700000.0,803304764500000.0,702127282334717.2
33.072794771905585,230851271300000.0,805776834600000.0,703807011174426.4
33.079950067087815,232509004000000.0,808253004900000.0,705486841902485.5
33.08707660515748,234171906600000.0,810732918900000.0,707166530618370.9
33.09417539190691,235840157300000.0,813216754800000.0,708846196183314.6
33.10124515675913,237513399500000.0,815704690900000.0,710525957109964.4
33.10828839541214,239192168100000.0,818196549000000.0,712205690902422.8
33.115303096106615,240875928200000.0,820692329000000.0,713885395519516.0
33.12229098210168,242565036500000.0,823192209200000.0,715565188959362.0
33.12925081167899,244259136300000.0,825696011300000.0,717244949427710.1
33.136184280776725,245958584200000.0,828203735400000.0,718924675216478.9
33.14309016271793,247663023700000.0,830715381400000.0,720604364498432.8
33.1499701263913,249372811200000.0,833231127700000.0,722284134651280.5
33.156822959923005,251087590400000.0,835750795900000.0,723963864642398.0
33.16364960093693,252807539300000.0,838274386000000.0,725643552902439.1
33.17045026627981,254532658100000.0,840802076300000.0,727323316228460.1
33.17722447343246,256262768500000.0,843333688600000.0,729003034472341.6
33.18397313725567,257998048600000.0,845869401100000.0,730682824161027.9
33.19069578012312,259738320400000.0,848409035500000.0,732362565484717.8
33.19739330190322,261483762000000.0,850952591800000.0,734042256951246.2
33.20406522753347,263234195100000.0,853500248400000.0,735722014707745.4
33.210712443060494,264989798000000.0,856051826900000.0,737401719481310.0
33.21733447789939,266750392600000.0,858607505600000.0,739081487014143.0
33.22393153872131,268515978600000.0,861167106300000.0,740761198695831.0
33.230503831755044,270286556300000.0,863730807200000.0,742440969997636.2
33.23705155871818,272062125500000.0,866298430000000.0,744120682637027.2
33.243575570583644,273842864500000.0,868870153000000.0,745800451681485.4
33.25007475860611,275628416800000.0,871445798000000.0,747480159304672.0
33.25654997295143,277418960700000.0,874025543100000.0,749159920368812.9
33.26300204417486,279214674400000.0,876609210200000.0,750839617372252.5
33.26942988130797,281015201400000.0,879196977600000.0,752519364839684.5
33.27583368415887,282820541700000.0,881788666800000.0,754199045783908.2
33.28221490244917,284631051800000.0,884384456300000.0,755878774525512.4
33.28857246248767,286446375200000.0,886984346000000.0,757558549465300.8
33.294907175222804,288266690200000.0,889588157600000.0,759238254190343.2
33.301218604314194,290091818500000.0,892196069400000.0,760918002517739.2
33.30750754786753,291921938300000.0,894808081500000.0,762597793142783.4
33.31377418007767,293757049700000.0,897424015400000.0,764277509964523.2
33.3200180691586,295596974300000.0,900044049600000.0,765957266430252.0
33.3262393966764,297441712300000.0,902668005800000.0,767636947194234.1
33.332438936325595,299291441800000.0,905296062100000.0,769316665116377.5
33.33861567003492,301145806400000.0,907928218600000.0,770996419070786.2
33.34477154735519,303005340700000.0,910564475400000.0,772676207820081.2
33.350904965250436,304869510100000.0,913204654100000.0,774355916571138.8
33.3570166855315,306738492800000.0,915848933000000.0,776035657899792.4
33.36310745361581,308612467000000.0,918497133900000.0,777715317508943.8
33.36917685136597,310491254600000.0,921149613200000.0,779395120189914.5
33.37522447138965,312374677100000.0,923806014500000.0,781074839228022.8
33.38125162108332,314263091200000.0,926466516000000.0,782754586357911.8
33.38725732267062,316156140400000.0,929130939400000.0,784434248067004.6
33.39324286469876,318054181000000.0,931799641300000.0,786114048057622.9
33.39920728013295,319956856800000.0,934472265100000.0,787793760776343.9
33.405151286371535,321864345800000.0,937148989200000.0,789473497552963.2
33.41107503597969,323776648000000.0,939829813400000.0,791153257187791.0
33.4169786803455,325693763600000.0,942514559600000.0,792832927189999.6
33.422861823929004,327615514200000.0,945203584300000.0,794512729659967.5
33.42872516460095,329542078100000.0,947896530900000.0,796192440902988.6
33.43456830993709,331473277000000.0,950593577700000.0,797872171377890.5
33.4403919478847,333409289200000.0,953294724800000.0,799551920232083.5
33.44619622050495,335350114700000.0,955999972000000.0,801231686317453.6
33.45198073961779,337295575200000.0,958709141200000.0,802911358313119.2
33.45774565347146,339245670800000.0,961422588900000.0,804591156471468.4
33.463491630255064,341200579600000.0,964139958500000.0,806270859148950.4
33.46921880581465,343160301700000.0,966861428300000.0,807950575732583.1
33.474926281215765,345124480600000.0,969586998400000.0,809630305527456.5
33.48061523337602,347093472700000.0,972316668600000.0,811310047661843.0
33.486285282974535,349067099900000.0,975050439000000.0,812989801340579.5
33.4919365677962,351045362100000.0,977788309700000.0,814669565888810.9
33.49756972910719,353028437500000.0,980530102300000.0,816349231173290.8
33.50318439169339,355016148000000.0,983276173400000.0,818029014817246.1
33.50878018959379,357008315300000.0,986026166400000.0,819708698080521.9
33.51435825584006,359005295800000.0,988780437900000.0,821388498062754.5
33.51991821923052,361006911400000.0,991538631400000.0,823068196520780.5
33.52546020848923,363013162000000.0,994300925000000.0,824747901376842.5
33.530984351176414,365024047600000.0,997067318900000.0,826427612058998.4
33.53649077343033,367039568200000.0,999837991200000.0,828107435859434.9
33.54197911714001,369059545600000.0,1002612585000000.0,829787155821375.4
33.547450473996214,371084336200000.0,1005391280000000.0,831466880217166.8
33.55290448076086,373113761900000.0,1008174075000000.0,833146607540476.6
33.55834078254565,375147644300000.0,1010960970000000.0,834826337234589.8
33.56375997937649,377186161800000.0,1013751965000000.0,836506068748203.1
33.569162188701256,379229314200000.0,1016547060000000.0,838185801426727.6
33.574547060373156,381276923500000.0,1019346256000000.0,839865535327906.0
33.579915181689124,383329167700000.0,1022149551000000.0,841545268714518.6
33.58526666730948,385386047000000.0,1024956947000000.0,843225002145616.2
33.590601629629084,387447561200000.0,1027768443000000.0,844904734387985.9
33.59591972338295,389513532300000.0,1030584040000000.0,846584465514805.9
33.601221065837954,391583960100000.0,1033403736000000.0,848264193919552.6
33.606506679095084,393659201100000.0,1036227533000000.0,849943920174624.9
33.6117753132096,395738720700000.0,1039055430000000.0,851623643173177.6
33.617027984968615,397822875200000.0,1041887427000000.0,853303362514422.0
33.62226480064823,399911664800000.0,1044723703000000.0,854983183607736.5
33.627485421388364,402004911200000.0,1047563901000000.0,856662894516312.9
33.63269039840731,404102792500000.0,1050408199000000.0,858342600170386.9
33.63787895702414,406204952400000.0,1053256597000000.0,860022300182982.8
33.64305208484191,408311747200000.0,1056109273000000.0,861702098987360.9
33.64820988260569,410423177100000.0,1058965872000000.0,863381786956427.8
33.65335201734072,412539063800000.0,1061826749000000.0,865061572353318.2
33.658478593412745,414659407100000.0,1064691548000000.0,866741245777678.1
33.66358971529476,416784207300000.0,1067560625000000.0,868421015589483.0
33.66868548492624,418913464100000.0,1070433803000000.0,870100777643893.8
33.673766427845585,421047356000000.0,1073311080000000.0,871780530309397.0
33.67883221683784,423185704700000.0,1076192280000000.0,873460170526272.9
33.68388253200513,425328331800000.0,1079077758000000.0,875139904990981.5
33.68891831261718,427475594000000.0,1081967515000000.0,876819733637127.1
33.69393964939422,429627491100000.0,1084861194000000.0,878499448389953.1
33.69894580744854,431783666800000.0,1087758972000000.0,880179151795705.2
33.70393729893516,433944299200000.0,1090660852000000.0,881858845348250.5
33.70891421840613,436109388300000.0,1093567009000000.0,883538629855540.6
33.71387665968401,438278934200000.0,1096477267000000.0,885218403104568.0
33.71882471541535,440452936900000.0,1099391447000000.0,886898061588062.5
